group_id,signature_type,representative_finding,occurrence_count,families,entity_ids,urls,second_review_label
R011,normalized-exact-match,"#### WP-27034-F002 — Product structured-data output is not evidenced

```yaml
severity: P1
scope: FAMILY
status: BLOCKED
evidence_class: MEASURED
confidence: HIGH
source_refs: [input.evidence.schema_types, registry/SYSTEMIC-FINDINGS.md#SYS-004]
impact: Product/variant structured-data consistency cannot be assessed.
recommendation: INITIAL — validate schema and one owner on representative color variants.
acceptance_criteria: Identity, variants, price/currency, availability, brand, images and schema agree.
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/appearance/structured-data/product-snippet
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capable
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Installed capability/output owner unavailable.
```",6,products,WP-27034;WP-27037;WP-27039;WP-27041;WP-27043;WP-27046,https://www.mariwork.ir/shop/fluorescent-purple-mariwork-fabric-color-code129/;https://www.mariwork.ir/shop/lavender-mariwork-fabric-color-code130/;https://www.mariwork.ir/shop/light-pink-mariwork-fabric-color-code126/;https://www.mariwork.ir/shop/lilac-mariwork-fabric-color-code128/;https://www.mariwork.ir/shop/papaya-mariwork-fabric-color-code127/;https://www.mariwork.ir/shop/permanet-rose-mariwork-fabric-color-code125/,repeated Round-1 finding candidate
R012,normalized-exact-match,"#### WP-32860-F002 — Informative/decorative image ALT coverage is unresolved

```yaml
severity: P2
scope: PAGE
status: BLOCKED
evidence_class: MEASURED
confidence: HIGH
source_refs: supplied evidence: WP-32860 evidence.image_count, evidence.images_missing_alt; registry/SYSTEMIC-FINDINGS.md SYS-011
google_basis: GOOGLE_RECOMMENDED
google_reference: https://developers.google.com/search/docs/appearance/google-images
seo_owner_current: CONTENT/UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: CONTENT for image-purpose decisions
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: ALT ownership and production configuration were not supplied
```

**Evidence:** The supplied snapshot reports 5 images and 3 images missing ALT. Image purpose/decorative status and appropriate text were not independently inspected.

**Impact:** Image accessibility and image-search interpretation may be incomplete; no traffic causation is claimed.

**Recommendation:** Initial — review each image by role; use descriptive ALT only for informative images and empty ALT for decorative images. Do not invent visual facts or use ALT as a keyword field.

**Acceptance criteria:** Second Review or approved family work records the informative/decorative decision and resulting ALT for every image, with no fabricated descriptions.

**Audit outcome:** Supplied Round-1 evidence is sufficient for technical observations and initial recommendations. Search Console Page+Query relationship, complete legacy redirect history, rendered structured-data verification, current WordPress/Rank Math ownership, and image-purpose review remain UNKNOWN_NEEDS_VERIFICATION or BLOCKED_BY_ACCESS. No Production change is authorized.",6,education,WP-32860;WP-32861;WP-32868;WP-32869;WP-32870;WP-32872,https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/batik-painting/;https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/painting-on-jeans/;https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/painting-with-base-coat-on-dark-fabric/;https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/print-on-towels/;https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/silk-screen-print/;https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/use-medium-base-coat-on-silk/,repeated Round-1 finding candidate
R013,normalized-exact-match,"#### WP-12541-F003
- severity: P2
- scope: PAGE
- status: CONFIRMED
- evidence_class: OBSERVED
- confidence: HIGH
- source_refs: [INPUT:inventory:WP-12541]
- impact: Legacy URL redirects to current entity; source mapping is evidenced, but historical value transfer/final migration disposition is not.
- recommendation: INITIAL — retain history and verify source identity, canonical destination and direct-chain behavior before any URL decision; do not infer performance transfer.
- acceptance_criteria: Legacy URL, status, destination, entity mapping and canonical are rechecked with source/date context; no Round-1 redirect change.
- google_basis: GOOGLE_CONSISTENT
- google_reference: https://developers.google.com/search/docs/crawling-indexing/301-redirects
- seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
- seo_owner_target: RANK_MATH if supported; otherwise PLATFORM/server owner
- rank_math_capability_checked: BLOCKED_BY_ACCESS (SYS-001)
- rank_math_path_or_reason_not_used: Redirect ownership/table inaccessible.",5,products,WP-12541;WP-12585;WP-12588;WP-12591;WP-12594,https://www.mariwork.ir/shop/mariwork-fabric-base-coat-code208/;https://www.mariwork.ir/shop/mariwork-fabric-fixative-medium-code204/;https://www.mariwork.ir/shop/mariwork-fabric-glitter-glue-code203/;https://www.mariwork.ir/shop/mariwork-golden-corona-powder-code201/;https://www.mariwork.ir/shop/white-mariwork-fabric-color-code121/,repeated Round-1 finding candidate
R014,normalized-exact-match,"#### WP-12581-F002
- severity: P2
- scope: FAMILY
- status: OPEN
- evidence_class: MEASURED
- confidence: MEDIUM
- source_refs: [INPUT:evidence:WP-12581, registry:SYS-008]
- impact: Repeated family pattern observed; medium/glitter differentiation and usage evidence is not measured in this batch.
- recommendation: INITIAL — inventory the complete family before title, H1, copy or link edits; do not mass-edit from this batch.
- acceptance_criteria: Family inventory records distinctions, approved naming/content rules, exceptions and regression set; Second Review complete.
- google_basis: GOOGLE_CONSISTENT
- google_reference: https://developers.google.com/search/docs/fundamentals/seo-starter-guide
- seo_owner_current: CONTENT/UNKNOWN_NEEDS_VERIFICATION
- seo_owner_target: CONTENT for visible content; RANK_MATH for approved metadata where capable
- rank_math_capability_checked: BLOCKED_BY_ACCESS (SYS-001)
- rank_math_path_or_reason_not_used: Ownership/configuration unavailable.",5,products,WP-12581;WP-12585;WP-12588;WP-12591;WP-12594,https://www.mariwork.ir/shop/mariwork-fabric-base-coat-code208/;https://www.mariwork.ir/shop/mariwork-fabric-fixative-medium-code204/;https://www.mariwork.ir/shop/mariwork-fabric-glitter-glue-code203/;https://www.mariwork.ir/shop/mariwork-golden-corona-powder-code201/;https://www.mariwork.ir/shop/mariwork-silver-corona-powder-code202/,repeated Round-1 finding candidate
R015,normalized-exact-match,"#### WP-27037-F001 — Legacy variant URL mapping needs direct verification

```yaml
severity: P2
scope: PAGE
status: UNKNOWN_NEEDS_VERIFICATION
evidence_class: OBSERVED
confidence: MEDIUM
source_refs: [input.inventory.notes_excerpt, input.evidence.redirect_chain, input.evidence.canonical]
impact: Supplied history reports a 301 from a 60ml URL, but current redirect behavior and variant mapping are not independently verified.
recommendation: INITIAL — verify source, destination, canonical and variant identity; preserve historical metrics separately.
acceptance_criteria: Direct mapping and entity/variant confidence are documented.
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/crawling-indexing/301-redirects
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: PLATFORM/server for redirect; RANK_MATH where supported for canonical
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Redirect/configuration unavailable.
```",5,products,WP-27037;WP-27039;WP-27041;WP-27043;WP-27046,https://www.mariwork.ir/shop/fluorescent-purple-mariwork-fabric-color-code129/;https://www.mariwork.ir/shop/lavender-mariwork-fabric-color-code130/;https://www.mariwork.ir/shop/light-pink-mariwork-fabric-color-code126/;https://www.mariwork.ir/shop/lilac-mariwork-fabric-color-code128/;https://www.mariwork.ir/shop/papaya-mariwork-fabric-color-code127/,repeated Round-1 finding candidate
R016,normalized-exact-match,"#### WP-28232-F001 — No parsed structured-data types in supplied initial HTML evidence
```yaml
severity: P1
scope: PAGE
status: CONFIRMED
evidence_class: OBSERVED
confidence: HIGH
source_refs: [""input.evidence.schema_types"", ""registry/SYSTEMIC-FINDINGS.md#SYS-004""]
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Production configuration and responsible output owner were not supplied.
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data
```
**Evidence:** `schema_types: []`; no schema payload was identified. **Impact:** Product structured-data eligibility/consistency is unverified; no ranking or rich-result causation is claimed. **Recommendation:** INITIAL — verify output and Rank Math/theme/plugin ownership, then compare Product/Offer facts with visible content. **Acceptance criteria:** Owner, current output, verified facts, conflicts and regression cases are recorded before any decision.",4,products,WP-28232;WP-28239;WP-28242;WP-28244,https://www.mariwork.ir/shop/mariwork-golden-shine-code206/;https://www.mariwork.ir/shop/mariwork-silver-shine-code207/;https://www.mariwork.ir/shop/mocha-mousse-mariwork-fabric-color-code138/;https://www.mariwork.ir/shop/teal-mariwork-fabric-color-code139/,repeated Round-1 finding candidate
R017,normalized-exact-match,"#### WP-33325-F001 — Product structured-data output is not evidenced in the supplied extraction

```yaml
severity: P1
scope: PAGE
status: BLOCKED
evidence_class: OBSERVED
confidence: MEDIUM
source_refs: [""INPUT:evidence.WP-33325.schema_types"", ""SYS-004"", ""SYS-006""]
impact: Product rich-result eligibility and consistency of price, identity and offer data cannot be assessed; no ranking or rich-result causation is claimed.
recommendation: INITIAL — inspect complete output and verify the current Rank Math/WooCommerce schema owner before deciding whether any change is needed; do not add parallel schema.
acceptance_criteria: One verified schema owner; Product/Offer fields agree with visible/WooCommerce facts; representative set regression passes.
google_basis: GOOGLE_RECOMMENDED
google_reference: https://developers.google.com/search/docs/appearance/structured-data/product-snippet
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where installed capability supports Product/WooCommerce schema
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Installed version/modules and current owner were not supplied.
```

**Evidence:** `schema_types: []` in the supplied extraction; this does not prove absence from every rendered state.

**Impact:** Structured-data consistency remains unverified.

**Recommendation:** Initial verification only; no Production change is authorized.

**Acceptance criteria:** As stated above.",3,products,WP-33325;WP-33326;WP-33327,https://www.mariwork.ir/shop/40color-set-30ml/;https://www.mariwork.ir/shop/whole-colors-and-mediumes-set-30ml/;https://www.mariwork.ir/shop/whole-mediumes-set-30ml/,repeated Round-1 finding candidate
R018,normalized-exact-match,"- id: WP-12502-F001
  severity: P2
  scope: PAGE
  status: CONFIRMED
  evidence_class: OBSERVED
  confidence: HIGH
  source_refs: [INPUT:evidence:WP-12502]
  impact: The supplied meta description appears to end mid-construction at «انتخاب»; no schema types were parsed from the supplied initial HTML, so Product/Offer/variant consistency also remains unverified.
  recommendation: INITIAL — review the description in the approved content/Rank Math owner and validate rendered/source structured data with WooCommerce variant values; no replacement copy is drafted in Round 1.
  acceptance_criteria: Complete description and consistent Product/Offer output, price/currency, availability, image and variant identity are evidenced in the final owner output and family regression set.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/appearance/snippet
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH if capability is verified
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed version/modules and current metadata owner were unavailable.",3,products,WP-12502;WP-12506;WP-12511,https://www.mariwork.ir/shop/darkbrown-mariwork-fabric-color-code113/;https://www.mariwork.ir/shop/orange-mariwork-fabric-color-code112/;https://www.mariwork.ir/shop/turquoseblue-mariwork-fabric-color-code114/,repeated Round-1 finding candidate
R019,normalized-exact-match,"#### TERM-product_cat-220-F002 — Batch-level structured data and sitemap verification gaps

```yaml
severity: P1
scope: FAMILY
status: BLOCKED
evidence_class: MEASURED
confidence: HIGH
source_refs: [""INPUT:evidence.schema_types"", ""INPUT:inventory.sitemap"", ""SYS-001"", ""SYS-004""]
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capability is verified
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Installed modules/settings unavailable.
```
**Evidence:** `schema_types: []`; sitemap is not present in observed sitemaps; page is 200/index-follow.
**Impact:** Family technical policy and schema ownership are unresolved.
**Recommendation:** INITIAL — validate family-level output and Rank Math ownership before any change.
**Acceptance criteria:** Regression sample verifies canonical, robots, sitemap and rendered schema.",2,product_cat,TERM-product_cat-220;TERM-product_cat-28,https://www.mariwork.ir/product/accessories/;https://www.mariwork.ir/product/fabric-printing-medium/,repeated Round-1 finding candidate
R020,normalized-exact-match,"#### WP-12597-F001
- severity: P1
- scope: PAGE
- status: CONFIRMED
- evidence_class: MEASURED
- confidence: MEDIUM
- source_refs: [INPUT:evidence:WP-12597, registry:SYS-004]
- impact: No schema type was parsed from supplied initial HTML; Product/Offer/bundle identity, price/currency, availability, image and visible-data consistency remain unverified.
- recommendation: INITIAL — validate rendered/source structured data and current Woo values; use one verified Rank Math/schema owner and preserve only real visible values.
- acceptance_criteria: Structured-data output, owner and set contents values are evidenced and consistent; no unsupported claims are introduced.
- google_basis: GOOGLE_RECOMMENDED
- google_reference: https://developers.google.com/search/docs/appearance/structured-data/product
- seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
- seo_owner_target: RANK_MATH where capable; otherwise documented central integration
- rank_math_capability_checked: BLOCKED_BY_ACCESS (SYS-001)
- rank_math_path_or_reason_not_used: Production Rank Math version/modules and output pipeline inaccessible.",2,products,WP-12597;WP-12605,https://www.mariwork.ir/shop/%D8%B3%D8%AA-5-%D8%B1%D9%86%DA%AF-%D9%81%D9%84%D9%88%D8%B1%D8%B3%D9%86%D8%AA-%D9%85%D8%A7%D8%B1%DB%8C-%D9%88%D8%B1%DA%A9/;https://www.mariwork.ir/shop/eight-color-set/,repeated Round-1 finding candidate
R021,normalized-exact-match,"#### WP-12597-F002
- severity: P2
- scope: FAMILY
- status: OPEN
- evidence_class: MEASURED
- confidence: MEDIUM
- source_refs: [INPUT:evidence:WP-12597, registry:SYS-008]
- impact: Repeated family pattern observed; set/bundle contents and offer consistency is not measured in this batch.
- recommendation: INITIAL — inventory the complete family before title, H1, copy or link edits; do not mass-edit from this batch.
- acceptance_criteria: Family inventory records distinctions, approved naming/content rules, exceptions and regression set; Second Review complete.
- google_basis: GOOGLE_CONSISTENT
- google_reference: https://developers.google.com/search/docs/fundamentals/seo-starter-guide
- seo_owner_current: CONTENT/UNKNOWN_NEEDS_VERIFICATION
- seo_owner_target: CONTENT for visible content; RANK_MATH for approved metadata where capable
- rank_math_capability_checked: BLOCKED_BY_ACCESS (SYS-001)
- rank_math_path_or_reason_not_used: Ownership/configuration unavailable.",2,products,WP-12597;WP-12605,https://www.mariwork.ir/shop/%D8%B3%D8%AA-5-%D8%B1%D9%86%DA%AF-%D9%81%D9%84%D9%88%D8%B1%D8%B3%D9%86%D8%AA-%D9%85%D8%A7%D8%B1%DB%8C-%D9%88%D8%B1%DA%A9/;https://www.mariwork.ir/shop/eight-color-set/,repeated Round-1 finding candidate
R022,normalized-exact-match,"#### WP-13320-F002 — Missing image ALT values
```yaml
severity: P2
scope: PAGE
status: CONFIRMED
evidence_class: MEASURED
confidence: HIGH
source_refs: [""WP-13320 supplied evidence""]
google_basis: GOOGLE_RECOMMENDED
google_reference: https://developers.google.com/search/docs/appearance/google-images
```
**Evidence:** 7 of 11 images are reported missing ALT.
**Impact:** Image context/accessibility is incomplete.
**Recommendation:** INITIAL — review image purpose and record evidence-based ALT decisions.
**Acceptance criteria:** Meaningful images have descriptive ALT decisions; decorative images are handled appropriately.",2,articles,WP-13320;WP-22192,https://www.mariwork.ir/mag/articles/fabric-preparation/;https://www.mariwork.ir/mag/articles/tips-on-pigment-fabric-color/,repeated Round-1 finding candidate
R023,normalized-exact-match,"#### WP-27893-F001 — No parsed structured-data types in supplied initial HTML evidence

```yaml
severity: P1
scope: PAGE
status: CONFIRMED
evidence_class: OBSERVED
confidence: HIGH
source_refs: [""input.evidence.schema_types"", ""registry/SYSTEMIC-FINDINGS.md#SYS-004""]
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Production configuration and responsible output owner were not supplied.
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data
```

**Evidence:** `schema_types: []`; no schema payload was identified in the supplied snapshot. Product visible content includes title, variants and price range, but schema consistency cannot be assessed.
**Impact:** Eligibility or consistency for product structured data is unverified; no rich-result or ranking causation is claimed.
**Recommendation:** INITIAL — verify rendered structured-data output and Rank Math/theme/plugin ownership, then assess Product/Offer/variant consistency against visible facts before any change.
**Acceptance criteria:** A representative product-family check records current output, owner, verified facts, conflicts, and regression cases; Second Review decides whether action is warranted.",2,products,WP-27893;WP-27901,https://www.mariwork.ir/shop/mariwork-glossy-varnish-code215/;https://www.mariwork.ir/shop/mariwork-semi-matte-varnish-code216/,repeated Round-1 finding candidate
R024,normalized-exact-match,"#### WP-32862-F002 — Informative/decorative image ALT coverage is unresolved

```yaml
severity: P2
scope: PAGE
status: BLOCKED
evidence_class: MEASURED
confidence: HIGH
source_refs: supplied evidence: WP-32862 evidence.image_count, evidence.images_missing_alt; registry/SYSTEMIC-FINDINGS.md SYS-011
google_basis: GOOGLE_RECOMMENDED
google_reference: https://developers.google.com/search/docs/appearance/google-images
seo_owner_current: CONTENT/UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: CONTENT for image-purpose decisions
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: ALT ownership and production configuration were not supplied
```

**Evidence:** The supplied snapshot reports 7 images and 5 images missing ALT. Image purpose/decorative status and appropriate text were not independently inspected.

**Impact:** Image accessibility and image-search interpretation may be incomplete; no traffic causation is claimed.

**Recommendation:** Initial — review each image by role; use descriptive ALT only for informative images and empty ALT for decorative images. Do not invent visual facts or use ALT as a keyword field.

**Acceptance criteria:** Second Review or approved family work records the informative/decorative decision and resulting ALT for every image, with no fabricated descriptions.

**Audit outcome:** Supplied Round-1 evidence is sufficient for technical observations and initial recommendations. Search Console Page+Query relationship, complete legacy redirect history, rendered structured-data verification, current WordPress/Rank Math ownership, and image-purpose review remain UNKNOWN_NEEDS_VERIFICATION or BLOCKED_BY_ACCESS. No Production change is authorized.",2,education,WP-32862;WP-32864,https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/salt-technique-on-fabric/;https://www.mariwork.ir/academy/mariwork-one-minute-guides/lessons/simultaneous-painting-on-silk-and-linen/,repeated Round-1 finding candidate
