entity_id,family,current_url,finding_id,finding_heading,finding_text,evidence_class,severity,scope,status,recommendation,dossier_path
TERM-category-1985,category,https://www.mariwork.ir/mag/paid/,TERM-category-1985-F001,,"- id: TERM-category-1985-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-1985, pages/category/TERM-category-1985.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-1985.md
TERM-category-71,category,https://www.mariwork.ir/mag/articles/,TERM-category-71-F001,,"- id: TERM-category-71-F001
  severity: P2
  scope: PAGE
  status: OPEN
  evidence_class: OBSERVED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-71, pages/category/TERM-category-71.md]
  impact: The page has an empty meta description, leaving snippet generation to other page content.
  recommendation: INITIAL — after intent and ownership review, consider an accurate page-specific description through the verified SEO owner; do not draft final metadata in Round 1.
  acceptance_criteria: Approved description matches visible article archive content and is emitted by one verified owner.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/appearance/snippet
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH if capability is verified
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and current meta owner were not supplied.",OBSERVED,P2,PAGE,OPEN,"INITIAL — after intent and ownership review, consider an accurate page-specific description through the verified SEO owner",pages/category/TERM-category-71.md
TERM-category-71,category,https://www.mariwork.ir/mag/articles/,TERM-category-71-F002,,"- id: TERM-category-71-F002
  severity: P2
  scope: PAGE
  status: OPEN
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-71]
  impact: 7 of 12 reported images lack ALT; image meaning/decorative status was not independently verified.
  recommendation: INITIAL — review image roles; use descriptive ALT for informative images and empty ALT for decorative images.
  acceptance_criteria: Image-by-image role decisions and accurate ALT output are reviewed; no invented descriptions.
  google_basis: GOOGLE_RECOMMENDED
  google_reference: https://developers.google.com/search/docs/appearance/google-images
  seo_owner_current: CONTENT/UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: CONTENT for ALT decisions
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Image/template ownership was not supplied.",MEASURED,P2,PAGE,OPEN,INITIAL — review image roles,pages/category/TERM-category-71.md
TERM-category-73,category,https://www.mariwork.ir/mag/education/,TERM-category-73-F001,,"- id: TERM-category-73-F001
  severity: P1
  scope: FAMILY
  status: BLOCKED
  evidence_class: MEASURED
  confidence: HIGH
  source_refs: [supplied inventory TERM-category-73, pages/category/TERM-category-73.md, registry/SYSTEMIC-FINDINGS.md#SYS-012]
  impact: The URL is publicly reachable but presents no category items; its current noindex/no-canonical policy and lifecycle are not tied to an approved family decision.
  recommendation: INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value; then use one approved family-level path. Do not mass-change controls from this audit.
  acceptance_criteria: Complete category-family inventory records item count, intended indexability, canonical/robots/sitemap behavior, replacement mapping where needed, Rank Math ownership, and regression examples.
  google_basis: GOOGLE_CONSISTENT
  google_reference: https://developers.google.com/search/docs/crawling-indexing/soft-404-errors
  seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
  seo_owner_target: RANK_MATH where capability is verified; otherwise UNKNOWN_NEEDS_VERIFICATION
  rank_math_capability_checked: BLOCKED_BY_ACCESS
  rank_math_path_or_reason_not_used: Installed Rank Math version/modules and taxonomy owner were not supplied.",MEASURED,P1,FAMILY,BLOCKED,"INITIAL — resolve the category-family policy from taxonomy identity, assignments, internal links, historical evidence, and intended user value",pages/category/TERM-category-73.md
TERM-ld_course_category-1989,ld_course_category,https://www.mariwork.ir/mag/course-category/free/,TERM-ld_course_category-1989-F001,Taxonomy URL returns an unresolved 404,"#### TERM-ld_course_category-1989-F001 — Taxonomy URL returns an unresolved 404

```yaml
id: TERM-ld_course_category-1989-F001
severity: P1
scope: PAGE
status: CONFIRMED
evidence_class: OBSERVED
confidence: HIGH
source_refs:
  - REST:https://www.mariwork.ir/wp-json/wp/v2/ld_course_category:id=1989
  - LINK:https://www.mariwork.ir/mag/course-category/free/
  - supplied_page_evidence:observed_at=2026-09-24T16:05:27Z
  - SYS-003
impact: The taxonomy archive is unavailable as a 404; its intended lifecycle, replacement relationship, and historical value are not established.
recommendation: INITIAL — verify lifecycle and historical/internal-link value, then decide restore, direct relevant redirect, or removal only with evidence. Do not map by slug similarity alone and do not implement in Round 1.
acceptance_criteria: Current taxonomy state, exact destination or no-replacement rationale, redirect/canonical behavior, historical signals, internal-link cleanup, Rank Math ownership, and regression checks are documented and Second Reviewed before change.
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/crawling-indexing/301-redirects
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH if verified capability covers taxonomy controls; otherwise UNKNOWN_NEEDS_VERIFICATION
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Installed version/modules and current owner were not supplied; no Production access or write was performed.
```

**Evidence:** HTTP 404, no redirect, unchanged final URL, `follow, noindex`, no canonical, no X-Robots value, absent from observed sitemaps, generic 404 H1/body, and no schema types.

**Impact:** The archive cannot be evaluated as an accessible taxonomy page; final disposition remains unresolved.

**Recommendation:** Initial evidence-gathering and lifecycle decision only; no redirect, canonical, robots, sitemap, or content change is authorized.

**Acceptance criteria:** See finding YAML; independently verify taxonomy state and Rank Math ownership before any implementation decision.

**Systemic reference:** `SYS-003`.",OBSERVED,P1,PAGE,CONFIRMED,"INITIAL — verify lifecycle and historical/internal-link value, then decide restore, direct relevant redirect, or removal only with evidence. Do not map by slug similarity alone and do not implement in Round 1.",pages/ld_course_category/TERM-ld_course_category-1989.md
TERM-ld_course_category-1990,ld_course_category,https://www.mariwork.ir/mag/course-category/paid/,TERM-ld_course_category-1990-F001,Taxonomy URL returns an unresolved 404,"#### TERM-ld_course_category-1990-F001 — Taxonomy URL returns an unresolved 404

```yaml
id: TERM-ld_course_category-1990-F001
severity: P1
scope: PAGE
status: CONFIRMED
evidence_class: OBSERVED
confidence: HIGH
source_refs:
  - REST:https://www.mariwork.ir/wp-json/wp/v2/ld_course_category:id=1990
  - LINK:https://www.mariwork.ir/mag/course-category/paid/
  - supplied_page_evidence:observed_at=2026-09-24T16:05:28Z
  - SYS-003
impact: The taxonomy archive is unavailable as a 404; its intended lifecycle, replacement relationship, and historical value are not established.
recommendation: INITIAL — verify lifecycle and historical/internal-link value, then decide restore, direct relevant redirect, or removal only with evidence. Do not map by slug similarity alone and do not implement in Round 1.
acceptance_criteria: Current taxonomy state, exact destination or no-replacement rationale, redirect/canonical behavior, historical signals, internal-link cleanup, Rank Math ownership, and regression checks are documented and Second Reviewed before change.
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/crawling-indexing/301-redirects
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH if verified capability covers taxonomy controls; otherwise UNKNOWN_NEEDS_VERIFICATION
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Installed version/modules and current owner were not supplied; no Production access or write was performed.
```

**Evidence:** HTTP 404, no redirect, unchanged final URL, `follow, noindex`, no canonical, no X-Robots value, absent from observed sitemaps, generic 404 H1/body, and no schema types.

**Impact:** The archive cannot be evaluated as an accessible taxonomy page; final disposition remains unresolved.

**Recommendation:** Initial evidence-gathering and lifecycle decision only; no redirect, canonical, robots, sitemap, or content change is authorized.

**Acceptance criteria:** See finding YAML; independently verify taxonomy state and Rank Math ownership before any implementation decision.

**Systemic reference:** `SYS-003`.",OBSERVED,P1,PAGE,CONFIRMED,"INITIAL — verify lifecycle and historical/internal-link value, then decide restore, direct relevant redirect, or removal only with evidence. Do not map by slug similarity alone and do not implement in Round 1.",pages/ld_course_category/TERM-ld_course_category-1990.md
TERM-product_cat-1902,product_cat,https://www.mariwork.ir/product/fabric-colors/,TERM-product_cat-1902-F001,Category decision-support content not evidenced,"#### TERM-product_cat-1902-F001 — Category decision-support content not evidenced

```yaml
severity: P2
scope: PAGE
status: HYPOTHESIS
evidence_class: OBSERVED
confidence: MEDIUM
source_refs: [""INPUT:evidence.text_excerpt"", ""INPUT:evidence.headings""]
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/fundamentals/creating-helpful-content
seo_owner_current: CONTENT/UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: CONTENT after Second Review
rank_math_capability_checked: NOT_APPLICABLE_FOR_VISIBLE_COPY
rank_math_path_or_reason_not_used: This concerns visible category usefulness, not metadata implementation.
```
**Evidence:** The supplied initial-HTML excerpt shows breadcrumb/navigation and product listing, but no distinct category guidance block.
**Impact:** Users may receive product choices without verified category-level selection context; ranking or traffic causation is not claimed.
**Recommendation:** INITIAL — independently review intent and add only verified, genuinely useful category guidance if a gap is confirmed; do not draft replacement copy in Round 1.
**Acceptance criteria:** Second Review confirms the gap and approved content brief uses only verified facts, with no keyword stuffing or invented claims.",OBSERVED,P2,PAGE,HYPOTHESIS,,pages/product_cat/TERM-product_cat-1902.md
TERM-product_cat-1902,product_cat,https://www.mariwork.ir/product/fabric-colors/,TERM-product_cat-1902-F002,Structured-data extraction gap,"#### TERM-product_cat-1902-F002 — Structured-data extraction gap

```yaml
severity: P1
scope: FAMILY
status: CONFIRMED
evidence_class: MEASURED
confidence: MEDIUM
source_refs: [""INPUT:evidence.schema_types"", ""SYS-004""]
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capability is verified
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Installed version/modules and current output owner unavailable.
```
**Evidence:** `schema_types: []` for this page; the same extraction gap is present across the supplied batch and is tracked by SYS-004.
**Impact:** Structured-data presence and consistency cannot be verified from the supplied extraction; rich-result eligibility is not inferred.
**Recommendation:** INITIAL — validate rendered/public output and Rank Math ownership for the product-category family before any schema change.
**Acceptance criteria:** Family sample records actual JSON-LD ownership, visible consistency, and a regression set.",MEASURED,P1,FAMILY,CONFIRMED,,pages/product_cat/TERM-product_cat-1902.md
TERM-product_cat-1902,product_cat,https://www.mariwork.ir/product/fabric-colors/,TERM-product_cat-1902-F003,Indexability/sitemap state needs verification,"#### TERM-product_cat-1902-F003 — Indexability/sitemap state needs verification

```yaml
severity: P1
scope: FAMILY
status: BLOCKED
evidence_class: OBSERVED
confidence: HIGH
source_refs: [""INPUT:inventory.sitemap"", ""INPUT:evidence.meta_robots"", ""SYS-001""]
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/crawling-indexing/sitemaps/overview
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capability is verified
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Sitemap/taxonomy settings unavailable.
```
**Evidence:** Page is 200 and index-follow in supplied HTML, while sitemap is `NOT_PRESENT_IN_OBSERVED_SITEMAPS`; intended indexability is unknown.
**Impact:** The intended relationship between category indexability and sitemap policy is unresolved; no indexing outcome is claimed.
**Recommendation:** INITIAL — verify complete sitemap set, Coverage/URL Inspection, taxonomy policy, and Rank Math ownership before deciding inclusion or exclusion.
**Acceptance criteria:** Evidence-backed family policy records intended indexability, sitemap state, canonical, owner, and regression examples.",OBSERVED,P1,FAMILY,BLOCKED,,pages/product_cat/TERM-product_cat-1902.md
TERM-product_cat-1991,product_cat,https://www.mariwork.ir/product/fabric-color-set/fabric-color-set-30-ml/,TERM-product_cat-1991-F001,Meta description contains extended FAQ text,"#### TERM-product_cat-1991-F001 — Meta description contains extended FAQ text

```yaml
severity: P2
scope: PAGE
status: CONFIRMED
evidence_class: OBSERVED
confidence: HIGH
source_refs: [""INPUT:evidence.meta_description""]
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/appearance/snippet
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capability is verified
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Current Rank Math configuration unavailable.
```
**Evidence:** Supplied meta description includes the category description followed by three FAQ questions and answers.
**Impact:** The description may be less focused as a search snippet; Google may generate a different snippet. No CTR/ranking causation is claimed.
**Recommendation:** INITIAL — review the intended snippet message and visible/metadata consistency; if changed, use Rank Math after capability and ownership verification.
**Acceptance criteria:** Approved description is concise, accurate, non-duplicative, and its owner is recorded.",OBSERVED,P2,PAGE,CONFIRMED,,pages/product_cat/TERM-product_cat-1991.md
TERM-product_cat-1991,product_cat,https://www.mariwork.ir/product/fabric-color-set/fabric-color-set-30-ml/,TERM-product_cat-1991-F002,Batch-level structured data and sitemap verification gaps,"#### TERM-product_cat-1991-F002 — Batch-level structured data and sitemap verification gaps

```yaml
severity: P1
scope: FAMILY
status: BLOCKED
evidence_class: MEASURED
confidence: HIGH
source_refs: [""INPUT:evidence.schema_types"", ""INPUT:inventory.sitemap"", ""SYS-001"", ""SYS-004""]
google_basis: GOOGLE_CONSISTENT
google_reference: https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data
seo_owner_current: UNKNOWN_NEEDS_VERIFICATION
seo_owner_target: RANK_MATH where capability is verified
rank_math_capability_checked: BLOCKED_BY_ACCESS
rank_math_path_or_reason_not_used: Installed modules/settings unavailable.
```
**Evidence:** `schema_types: []`; sitemap is not present in observed sitemaps; page is 200/index-follow.
**Impact:** Family policy and structured-data ownership cannot be concluded.
**Recommendation:** INITIAL — resolve via family-level validation and Rank Math capability audit; do not add competing schema or alter sitemap in Round 1.
**Acceptance criteria:** Family regression set verifies rendered schema, taxonomy policy, canonical and sitemap state.",MEASURED,P1,FAMILY,BLOCKED,,pages/product_cat/TERM-product_cat-1991.md
